model,runtime,error,warn,logLik,est,se,pvalue,tau2,scenario,replicate,param_id
glmmTMB_RE,0.37999999999738066,NA,NA,-14.973575915138078,0.49381265323093126,0.10979360761212408,6.871034946141666e-6,0.1986494850668821,SMD_tau2=0.25_moderate,6,46
rma.uni,0,NA,NA,-18.739924804939143,0.3218147801762704,0.13347315764531464,0.01590525491227476,0.31403074298097383,SMD_tau2=0.25_moderate,7,47
glmmTMB_RE,0.3899999999994179,NA,NA,-18.739924804939093,0.3218147798636739,0.1334770452746641,0.015908317831914272,0.3140307072198862,SMD_tau2=0.25_moderate,7,47
rma.uni,0,NA,NA,-13.284197374479668,0.2795423340911414,0.10000218491903137,0.0051841587072692175,0.15862886136637566,SMD_tau2=0.25_moderate,8,48
glmmTMB_RE,0.3899999999994179,NA,NA,-13.284197374479199,0.27954233300253256,0.10000853507894857,0.005187006187377547,0.15862879801237434,SMD_tau2=0.25_moderate,8,48
rma.uni,0.029999999998835847,NA,NA,-18.36662218239157,0.32333436787207137,0.13070957495243107,0.013372739579862644,0.29949110879438023,SMD_tau2=0.25_moderate,9,49
glmmTMB_RE,0.37000000000261934,NA,NA,-18.366622182391225,0.32333436757154543,0.13071009303320194,0.013373106633947937,0.2994910187037807,SMD_tau2=0.25_moderate,9,49
rma.uni,0,NA,NA,-18.40034322215488,0.6056432889082668,0.13090822483777245,3.719464099018743e-6,0.2991866247455988,SMD_tau2=0.25_moderate,10,50
glmmTMB_RE,0.3900000000030559,NA,NA,-18.400343222154433,0.6056432866516913,0.13093051721472285,3.733629649306491e-6,0.29918651969379,SMD_tau2=0.25_moderate,10,50
rma.uni,0,NA,NA,-16.82373931187212,0.06367474690925352,0.12070748418559636,0.5978375073377836,0.24996097513102714,SMD_tau2=0.25_null,1,51
glmmTMB_RE,0.3899999999994179,NA,NA,-16.82373931187209,0.06367474682308027,0.12070808642039481,0.5978393349966766,0.2499609536654491,SMD_tau2=0.25_null,1,51
rma.uni,0,NA,NA,-16.76017124644114,0.09679019379902445,0.1204504915439631,0.4216463508929816,0.24870381244722192,SMD_tau2=0.25_null,2,52
glmmTMB_RE,0.4599999999991269,NA,NA,-16.76017124644114,0.09679019378162734,0.12045086170071205,0.42164777764235817,0.24870380693834118,SMD_tau2=0.25_null,2,52
rma.uni,0.020000000000436557,NA,NA,-15.349932776446714,0.06982903279226353,0.1118197567340285,0.5323133925883315,0.20882865525485408,SMD_tau2=0.25_null,3,53
glmmTMB_RE,0.6500000000014552,NA,NA,-15.349932776446721,0.06982903275520275,0.11182098552287084,0.5323178981791645,0.2088286494863471,SMD_tau2=0.25_null,3,53
rma.uni,0,NA,NA,-10.680946276591683,0.0413543761417483,0.08725577647292825,0.6355396419702051,0.11151664658621292,SMD_tau2=0.25_null,4,54
glmmTMB_RE,0.38000000000101863,NA,NA,-10.680946276591484,0.04135437586542431,0.08725688609905491,0.635543942250449,0.11151661535555532,SMD_tau2=0.25_null,4,54
rma.uni,0.020000000000436557,NA,NA,-13.138270814694634,0.025947488507113564,0.09952145796573414,0.7943064733569212,0.15712065833805844,SMD_tau2=0.25_null,5,55
glmmTMB_RE,0.43999999999869033,NA,NA,-13.138270814694636,0.02594748848844755,0.0995217220779571,0.7943070071171019,0.15712065308527193,SMD_tau2=0.25_null,5,55
rma.uni,0,NA,NA,-21.4732797015387,0.03185100566541131,0.1540510895527242,0.8362003262343031,0.4323060965963536,SMD_tau2=0.25_null,6,56
glmmTMB_RE,0.3899999999994179,NA,NA,-21.473279701538594,0.03185100603958942,0.15405293833374137,0.8362022622374945,0.43230601974536703,SMD_tau2=0.25_null,6,56
rma.uni,0,NA,NA,-16.23291486395693,-0.04297203105344729,0.11722272023492802,0.7139289795627886,0.23347546377145018,SMD_tau2=0.25_null,7,57
glmmTMB_RE,0.5,NA,NA,-16.232914863956914,-0.042972031041637195,0.11722370254841845,0.7139312713914847,0.2334754615671406,SMD_tau2=0.25_null,7,57
rma.uni,0.00999999999839929,NA,NA,-13.86720877062972,-0.15631200083031016,0.10331365132392266,0.1302834787044139,0.17230618725416033,SMD_tau2=0.25_null,8,58
glmmTMB_RE,0.4500000000007276,NA,NA,-13.867208770629695,-0.15631200082456917,0.10331365098955257,0.1302834774746806,0.17230617201967388,SMD_tau2=0.25_null,8,58
rma.uni,0.020000000000436557,NA,NA,-11.628431055308969,-0.0022113671662116474,0.09179022379954682,0.980779597394677,0.12768457875278438,SMD_tau2=0.25_null,9,59
glmmTMB_RE,0.43000000000029104,NA,NA,-11.628431055308909,-0.0022113672174578548,0.09179034027338853,0.980779621333627,0.1276845598294977,SMD_tau2=0.25_null,9,59
rma.uni,0.020000000000436557,NA,NA,-13.831154521302889,-0.06318102398489127,0.10307857503711994,0.5399157426464396,0.17144408216209953,SMD_tau2=0.25_null,10,60
glmmTMB_RE,0.4699999999975262,NA,NA,-13.831154521302828,-0.0631810240717936,0.10307894025405388,0.5399171781014955,0.17144406028566112,SMD_tau2=0.25_null,10,60
